1,농구,KBL컵,고양캐롯,83,2.07,KT소닉붐,88,1.53,Away,SUW,10,7
7,야구,KBO,두산,2,1.56,삼성,8,2.02,Away,UDW,10,7
10,야구,KBO,NC,2,1.45,LG,7,2.24,Away,UDW,10,7
13,야구,KBO,KIA,11,1.6,KT,1,1.96,Home,UDW,10,7
22,배구,여배세계,일본W,3,1.01,푸에르W,0,6.84,Home,UDW,10,7
25,배구,여배세계,세르비W,3,1.01,태국W,0,6.84,Home,UDW,10,7
28,야구,MLB,클리가디,2,1.64,탬파레이,1,1.9,Home,UDW,10,8
31,야구,MLB,세인카디,3,1.73,필라필리,6,1.79,Away,UDW,10,8
34,야구,MLB,토론블루,0,1.54,시애매리,4,2.05,Away,UDW,10,8
37,야구,MLB,뉴욕메츠,1,1.52,샌디파드,7,2.09,Away,UDW,10,8
40,배구,여배세계,이탈리W,3,1.01,아르헨W,0,6.84,Home,UDW,10,8
43,배구,여배세계,미국W,3,1.34,튀르키W,1,2.56,Home,UDW,10,8
46,배구,여배세계,도미공W,3,1.56,독일W,1,2.02,Home,UDW,10,8
52,배구,여배세계,브라질W,3,1.14,네덜란W,0,3.86,Home,UDW,10,8
58,배구,여배세계,폴란드W,3,1.23,캐나다W,2,3.09,Home,UDW,10,8
